NUMBER OF OBSERVATIONS									
18475									
DAY	MONTH 	YEAR	RAIN	PET	GWL	ABS			
20	09	1970	0	2.051504601	-9999	0	-9999		
21	09	1970	0.045	2.051504601	-9999	0	-9999		
22	09	1970	0	2.051504601	-9999	0	-9999		
23	09	1970	0	2.051504601	-9999	0	-9999		
24	09	1970	0	2.051504601	-9999	0	-9999		
25	09	1970	0	2.051504601	-9999	0	-9999		
26	09	1970	0	2.051504601	-9999	0	-9999		
27	09	1970	0.042	2.051504601	-9999	0	-9999		
28	09	1970	0.003	2.051504601	-9999	0	-9999		
29	09	1970	0.221	2.051504601	-9999	0	-9999		
30	09	1970	0.094	2.051504601	-9999	0	-9999		
01	10	1970	0.051	1.341368393	-9999	0	-9999		
02	10	1970	0.061	1.341368393	-9999	0	-9999		
03	10	1970	3.734	1.341368393	-9999	0	-9999		
04	10	1970	0.046	1.341368393	-9999	0	-9999		
05	10	1970	0.71	1.341368393	-9999	0	-9999		
06	10	1970	0.038	1.341368393	-9999	0	-9999		
07	10	1970	0	1.341368393	-9999	0	-9999		
08	10	1970	0	1.341368393	-9999	0	-9999		
09	10	1970	0	1.341368393	-9999	0	-9999		
10	10	1970	0	1.341368393	-9999	0	-9999		
11	10	1970	0.048	1.341368393	-9999	0	-9999		
12	10	1970	0.039	1.341368393	-9999	0	-9999		
13	10	1970	0.222	1.341368393	-9999	0	-9999		
14	10	1970	0.035	1.341368393	-9999	0	-9999		
15	10	1970	0	1.341368393	-9999	0	-9999		
16	10	1970	0	1.341368393	-9999	0	-9999		
17	10	1970	0	1.341368393	-9999	0	-9999		
18	10	1970	2.904	1.341368393	-9999	0	-9999		
19	10	1970	0.036	1.341368393	-9999	0	-9999		
20	10	1970	1.174	1.341368393	-9999	0	-9999		
21	10	1970	0.471	1.341368393	-9999	0	-9999		
22	10	1970	0.035	1.341368393	-9999	0	-9999		
23	10	1970	0.329	1.341368393	-9999	0	-9999		
24	10	1970	0.001	1.341368393	-9999	0	-9999		
25	10	1970	2.099	1.341368393	-9999	0	-9999		
26	10	1970	0.04	1.341368393	-9999	0	-9999		
27	10	1970	13.245	1.341368393	-9999	0	-9999		
28	10	1970	5.239	1.341368393	-9999	0	-9999		
29	10	1970	0.092	1.341368393	-9999	0	-9999		
30	10	1970	5.85	1.341368393	-9999	0	-9999		
31	10	1970	0.056	1.341368393	-9999	0	-9999		
01	11	1970	16.498	0.789040231	-9999	0	-9999		
02	11	1970	4.651	0.789040231	-9999	0	-9999		
03	11	1970	0.19	0.789040231	-9999	0	-9999		
04	11	1970	2.677	0.789040231	-9999	0	-9999		
05	11	1970	0.002	0.789040231	-9999	0	-9999		
06	11	1970	0.649	0.789040231	-9999	0	-9999		
07	11	1970	0.03	0.789040231	-9999	0	-9999		
08	11	1970	0.275	0.789040231	-9999	0	-9999		
09	11	1970	0.034	0.789040231	-9999	0	-9999		
10	11	1970	0.232	0.789040231	-9999	0	-9999		
11	11	1970	13.349	0.789040231	-9999	0	-9999		
12	11	1970	0.001	0.789040231	-9999	0	-9999		
13	11	1970	1.554	0.789040231	-9999	0	-9999		
14	11	1970	0.548	0.789040231	-9999	0	-9999		
15	11	1970	3.985	0.789040231	-9999	0	-9999		
16	11	1970	1.023	0.789040231	-9999	0	-9999		
17	11	1970	14.326	0.789040231	-9999	0	-9999		
18	11	1970	10.326	0.789040231	-9999	0	-9999		
19	11	1970	2.961	0.789040231	-9999	0	-9999		
20	11	1970	6.29	0.789040231	-9999	0	-9999		
21	11	1970	0.003	0.789040231	-9999	0	-9999		
22	11	1970	4.746	0.789040231	-9999	0	-9999		
23	11	1970	0.502	0.789040231	-9999	0	-9999		
24	11	1970	0.073	0.789040231	-9999	0	-9999		
25	11	1970	0.265	0.789040231	-9999	0	-9999		
26	11	1970	0.388	0.789040231	-9999	0	-9999		
27	11	1970	0.775	0.789040231	-9999	0	-9999		
28	11	1970	8.316	0.789040231	-9999	0	-9999		
29	11	1970	12.536	0.789040231	-9999	0	-9999		
30	11	1970	8.84	0.789040231	-9999	0	-9999		
01	12	1970	0.167	0.440547462	-9999	0	-9999		
02	12	1970	1.042	0.440547462	-9999	0	-9999		
03	12	1970	3.509	0.440547462	-9999	0	-9999		
04	12	1970	0.261	0.440547462	-9999	0	-9999		
05	12	1970	4.126	0.440547462	-9999	0	-9999		
06	12	1970	2.02	0.440547462	-9999	0	-9999		
07	12	1970	0.27	0.440547462	-9999	0	-9999		
08	12	1970	0.001	0.440547462	-9999	0	-9999		
09	12	1970	0.003	0.440547462	-9999	0	-9999		
10	12	1970	0.033	0.440547462	-9999	0	-9999		
11	12	1970	0.001	0.440547462	-9999	0	-9999		
12	12	1970	0.698	0.440547462	-9999	0	-9999		
13	12	1970	0.001	0.440547462	-9999	0	-9999		
14	12	1970	0.232	0.440547462	-9999	0	-9999		
15	12	1970	1.055	0.440547462	-9999	0	-9999		
16	12	1970	0.851	0.440547462	-9999	0	-9999		
17	12	1970	0.056	0.440547462	-9999	0	-9999		
18	12	1970	0.003	0.440547462	-9999	0	-9999		
19	12	1970	0.037	0.440547462	-9999	0	-9999		
20	12	1970	0.001	0.440547462	-9999	0	-9999		
21	12	1970	0.056	0.440547462	-9999	0	-9999		
22	12	1970	0.184	0.440547462	-9999	0	-9999		
23	12	1970	1.254	0.440547462	-9999	0	-9999		
24	12	1970	2.631	0.440547462	-9999	0	-9999		
25	12	1970	2.418	0.440547462	-9999	0	-9999		
26	12	1970	4.11	0.440547462	-9999	0	-9999		
27	12	1970	1.901	0.440547462	-9999	0	-9999		
28	12	1970	6.805	0.440547462	-9999	0	-9999		
29	12	1970	2.266	0.440547462	-9999	0	-9999		
30	12	1970	0.807	0.440547462	-9999	0	-9999		
31	12	1970	0.055	0.440547462	-9999	0	-9999		
01	01	1971	0	0.417533789	-9999	0	-9999		
02	01	1971	0	0.417533789	-9999	0	-9999		
03	01	1971	0.034	0.417533789	-9999	0	-9999		
04	01	1971	0	0.417533789	-9999	0	-9999		
05	01	1971	0.034	0.417533789	-9999	0	-9999		
06	01	1971	2.518	0.417533789	-9999	0	-9999		
07	01	1971	4.639	0.417533789	-9999	0	-9999		
08	01	1971	0.937	0.417533789	-9999	0	-9999		
09	01	1971	0.04	0.417533789	-9999	0	-9999		
10	01	1971	0.005	0.417533789	-9999	0	-9999		
11	01	1971	0.037	0.417533789	-9999	0	-9999		
12	01	1971	0.009	0.417533789	-9999	0	-9999		
13	01	1971	0.141	0.417533789	-9999	0	-9999		
14	01	1971	0.657	0.417533789	-9999	0	-9999		
15	01	1971	1.618	0.417533789	-9999	0	-9999		
16	01	1971	0.135	0.417533789	-9999	0	-9999		
17	01	1971	0.415	0.417533789	-9999	0	-9999		
18	01	1971	0.916	0.417533789	-9999	0	-9999		
19	01	1971	0.425	0.417533789	-9999	0	-9999		
20	01	1971	7.731	0.417533789	-9999	0	-9999		
21	01	1971	0.219	0.417533789	-9999	0	-9999		
22	01	1971	8.078	0.417533789	-9999	0	-9999		
23	01	1971	8.937	0.417533789	-9999	0	-9999		
24	01	1971	1.329	0.417533789	-9999	0	-9999		
25	01	1971	0.04	0.417533789	-9999	0	-9999		
26	01	1971	8.45	0.417533789	-9999	0	-9999		
27	01	1971	2.051	0.417533789	-9999	0	-9999		
28	01	1971	0.637	0.417533789	-9999	0	-9999		
29	01	1971	0.068	0.417533789	-9999	0	-9999		
30	01	1971	8.709	0.417533789	-9999	0	-9999		
31	01	1971	1.454	0.417533789	-9999	0	-9999		
01	02	1971	0.033	0.608218512	-9999	0	-9999		
02	02	1971	0.161	0.608218512	-9999	0	-9999		
03	02	1971	0.033	0.608218512	-9999	0	-9999		
04	02	1971	0.033	0.608218512	-9999	0	-9999		
05	02	1971	0.212	0.608218512	-9999	0	-9999		
06	02	1971	0.006	0.608218512	-9999	0	-9999		
07	02	1971	0.001	0.608218512	-9999	0	-9999		
08	02	1971	0.033	0.608218512	-9999	0	-9999		
09	02	1971	0	0.608218512	-9999	0	-9999		
10	02	1971	0.004	0.608218512	-9999	0	-9999		
11	02	1971	0.034	0.608218512	-9999	0	-9999		
12	02	1971	0.063	0.608218512	-9999	0	-9999		
13	02	1971	0.484	0.608218512	-9999	0	-9999		
14	02	1971	2.291	0.608218512	-9999	0	-9999		
15	02	1971	0.036	0.608218512	-9999	0	-9999		
16	02	1971	0.001	0.608218512	-9999	0	-9999		
17	02	1971	6.062	0.608218512	-9999	0	-9999		
18	02	1971	0.464	0.608218512	-9999	0	-9999		
19	02	1971	1.378	0.608218512	-9999	0	-9999		
20	02	1971	0.211	0.608218512	-9999	0	-9999		
21	02	1971	0.103	0.608218512	-9999	0	-9999		
22	02	1971	0	0.608218512	-9999	0	-9999		
23	02	1971	0	0.608218512	-9999	0	-9999		
24	02	1971	0.036	0.608218512	-9999	0	-9999		
25	02	1971	0	0.608218512	-9999	0	-9999		
26	02	1971	0.001	0.608218512	-9999	0	-9999		
27	02	1971	1.304	0.608218512	-9999	0	-9999		
28	02	1971	0.026	0.608218512	-9999	0	-9999		
01	03	1971	9.732	1.137533	-9999	0	-9999		
02	03	1971	0.129	1.137533	-9999	0	-9999		
03	03	1971	0.357	1.137533	-9999	0	-9999		
04	03	1971	0.04	1.137533	-9999	0	-9999		
05	03	1971	0.136	1.137533	-9999	0	-9999		
06	03	1971	0.056	1.137533	-9999	0	-9999		
07	03	1971	1.995	1.137533	-9999	0	-9999		
08	03	1971	0.046	1.137533	-9999	0	-9999		
09	03	1971	0.742	1.137533	-9999	0	-9999		
10	03	1971	0.72	1.137533	-9999	0	-9999		
11	03	1971	0.001	1.137533	-9999	0	-9999		
12	03	1971	0	1.137533	-9999	0	-9999		
13	03	1971	0.169	1.137533	-9999	0	-9999		
14	03	1971	0.015	1.137533	-9999	0	-9999		
15	03	1971	0.475	1.137533	-9999	0	-9999		
16	03	1971	0.941	1.137533	-9999	0	-9999		
17	03	1971	14.044	1.137533	-9999	0	-9999		
18	03	1971	3.78	1.137533	-9999	0	-9999		
19	03	1971	0.713	1.137533	-9999	0	-9999		
20	03	1971	1.28	1.137533	-9999	0	-9999		
21	03	1971	0.065	1.137533	-9999	0	-9999		
22	03	1971	0	1.137533	-9999	0	-9999		
23	03	1971	4.775	1.137533	-9999	0	-9999		
24	03	1971	2.541	1.137533	-9999	0	-9999		
25	03	1971	0.025	1.137533	-9999	0	-9999		
26	03	1971	4.465	1.137533	-9999	0	-9999		
27	03	1971	0.003	1.137533	-9999	0	-9999		
28	03	1971	0.05	1.137533	-9999	0	-9999		
29	03	1971	0.038	1.137533	-9999	0	-9999		
30	03	1971	0	1.137533	-9999	0	-9999		
31	03	1971	0.036	1.137533	-9999	0	-9999		
01	04	1971	0.078	1.390683407	-9999	0	-9999		
02	04	1971	0.012	1.390683407	-9999	0	-9999		
03	04	1971	0.119	1.390683407	-9999	0	-9999		
04	04	1971	0.052	1.390683407	-9999	0	-9999		
05	04	1971	0.035	1.390683407	-9999	0	-9999		
06	04	1971	0.033	1.390683407	-9999	0	-9999		
07	04	1971	0.039	1.390683407	-9999	0	-9999		
08	04	1971	0	1.390683407	-9999	0	-9999		
09	04	1971	0	1.390683407	-9999	0	-9999		
10	04	1971	0.033	1.390683407	-9999	0	-9999		
11	04	1971	0	1.390683407	-9999	0	-9999		
12	04	1971	0	1.390683407	-9999	0	-9999		
13	04	1971	0	1.390683407	-9999	0	-9999		
14	04	1971	0	1.390683407	-9999	0	-9999		
15	04	1971	0.001	1.390683407	-9999	0	-9999		
16	04	1971	0.462	1.390683407	-9999	0	-9999		
17	04	1971	0	1.390683407	-9999	0	-9999		
18	04	1971	0	1.390683407	-9999	0	-9999		
19	04	1971	0	1.390683407	-9999	0	-9999		
